epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2765.37,1.28978,0.70874,0.88715,0.59345,0.50225,0.56384,0.33621,1.21224,1.04125,0.88655,0.000742625,0.000742625,0.000742625
43,2835.42,1.2948,0.70264,0.88694,0.63077,0.49694,0.56985,0.33501,1.20387,0.9625,0.88502,0.00073025,0.00073025,0.00073025
44,2905.35,1.26971,0.69584,0.88099,0.62316,0.49829,0.56931,0.33614,1.21657,1.02733,0.88553,0.000717875,0.000717875,0.000717875
45,2985.09,1.26388,0.69726,0.88073,0.59762,0.51442,0.5676,0.33976,1.19594,0.99543,0.88332,0.0007055,0.0007055,0.0007055
46,3055.19,1.2931,0.70688,0.88548,0.61539,0.49781,0.56824,0.34024,1.19695,0.99292,0.88025,0.000693125,0.000693125,0.000693125
47,3124.87,1.2725,0.68244,0.88667,0.64259,0.50226,0.57144,0.34162,1.20809,0.95232,0.88238,0.00068075,0.00068075,0.00068075
48,3194.67,1.28571,0.69442,0.88924,0.62343,0.50814,0.56496,0.33982,1.18617,0.97288,0.88137,0.000668375,0.000668375,0.000668375
49,3264.35,1.2546,0.68384,0.87949,0.61057,0.51663,0.57207,0.34517,1.18628,0.97275,0.87917,0.000656,0.000656,0.000656
50,3343.87,1.25228,0.67745,0.87758,0.59679,0.51896,0.56946,0.34428,1.17772,0.97997,0.87904,0.000643625,0.000643625,0.000643625
51,3414.2,1.24899,0.67711,0.88047,0.62925,0.50455,0.57336,0.34327,1.17707,0.99242,0.87924,0.00063125,0.00063125,0.00063125
52,3475.47,1.25277,0.67186,0.87811,0.60937,0.52644,0.57315,0.34351,1.18233,0.96589,0.87987,0.000618875,0.000618875,0.000618875
53,3537.52,1.24786,0.66789,0.87638,0.63199,0.49121,0.5701,0.34649,1.16059,0.97749,0.8742,0.0006065,0.0006065,0.0006065
54,3599.26,1.24113,0.66525,0.87235,0.6376,0.50478,0.57211,0.34739,1.17911,0.97552,0.87997,0.000594125,0.000594125,0.000594125
55,3660.64,1.23814,0.65881,0.87067,0.62672,0.49296,0.57265,0.34292,1.14998,0.93344,0.87465,0.00058175,0.00058175,0.00058175
56,3722.11,1.22992,0.65148,0.87261,0.61785,0.51518,0.57551,0.34823,1.1526,0.92254,0.8754,0.000569375,0.000569375,0.000569375
57,3783.66,1.23511,0.6547,0.87907,0.62633,0.51369,0.57409,0.35034,1.14514,0.96844,0.87309,0.000557,0.000557,0.000557
58,4397.73,1.21846,0.64205,0.87063,0.60835,0.51487,0.5727,0.34792,1.14477,0.96289,0.8732,0.000544625,0.000544625,0.000544625
